Portuguese	4	82417386	10829
				3)	mono	2931	5567	4.429759E-5
				4)	mont	3234	4665	3.712022E-5
				5)	mone	5650	1385	1.10206865E-5
				6)	mona	10509	224	1.782407E-6
			8)	mor	0	0	0.0
				1)	mort	2831	5842	4.6485813E-5
				2)	mora	3581	3829	3.046802E-5
				3)	morr	5334	1613	1.2834922E-5
				4)	mord	7495	674	5.3631356E-6
				5)	moro	7815	597	4.750433E-6
				6)	mor_	8700	430	3.421585E-6
				7)	more	9473	324	2.5781244E-6
			9)	mou	0	0	0.0
				1)	mou_	2937	5547	4.4138447E-5
			10)	moç	0	0	0.0
				1)	moçã	3149	4878	3.8815095E-5
				2)	moçõ	10702	209	1.6630495E-6
			11)	mob	0	0	0.0
				1)	mobi	3565	3873	3.0818137E-5
			12)	moe	0	0	0.0
				1)	moed	4956	1907	1.5174332E-5
			13)	mol	0	0	0.0
				1)	mold	5736	1334	1.0614871E-5
				2)	molo	6005	1185	9.429252E-6
				3)	mola	9213	355	2.8247969E-6
			14)	mog	0	0	0.0
				1)	mogr	6063	1154	9.18258E-6
		3)	ma	0	0	0.0
			1)	mas	0	0	0.0
				1)	mas_	38	141260	0.0011240304
				2)	masi	2848	5814	4.6263012E-5
				3)	mass	4729	2123	1.6893082E-5
				4)	mase	8147	523	4.161602E-6
				5)	masc	9782	292	2.323495E-6
			2)	mai	0	0	0.0
				1)	maio	599	30851	2.454868E-4
				2)	mais	2077	9207	7.3261705E-5
			3)	mat	0	0	0.0
				1)	maté	842	23113	1.8391418E-4
				2)	mati	3962	3164	2.51765E-5
				3)	mate	4150	2853	2.2701819E-5
				4)	mata	5374	1579	1.2564378E-5
				5)	matu	7342	707	5.625722E-6
				6)	mato	7563	656	5.2199066E-6
			4)	mar	0	0	0.0
				1)	mar_	864	22613	1.7993558E-4
				2)	marc	3520	3970	3.158998E-5
				3)	marí	4100	2930	2.331452E-5
				4)	mara	4187	2796	2.224826E-5
				5)	marg	4194	2791	2.2208475E-5
				6)	mari	5042	1827	1.4537757E-5
				7)	mare	5220	1684	1.3399882E-5
				8)	marq	6135	1121	8.919992E-6
				9)	mars	7564	656	5.2199066E-6
				10)	marm	7824	596	4.742476E-6
				11)	mará	9184	358	2.8486684E-6
				12)	marr	9553	315	2.5065099E-6
			5)	maç	0	0	0.0
				1)	maçã	971	20728	1.6493631E-4
				2)	maçõ	2922	5596	4.4528348E-5
			6)	man	0	0	0.0
				1)	mano	1072	18938	1.5069297E-4
				2)	mant	1342	15149	1.20543235E-4
				3)	mani	1401	14551	1.15784846E-4
				4)	mana	1782	11105	8.8364424E-5
				5)	mane	1829	10808	8.600114E-5
				6)	manh	2310	7914	6.297308E-5
				7)	mand	2731	6164	4.9048023E-5
				8)	manu	4298	2633	2.095124E-5
				9)	manê	9060	376	2.9918976E-6
				10)	manc	9308	342	2.7213537E-6
			7)	mad	0	0	0.0
				1)	mada	1624	12324	9.8064214E-5
				2)	mado	1859	10621	8.451315E-5
				3)	madi	8415	472	3.7557863E-6
				4)	made	9087	372	2.960069E-6
				5)	madu	10371	235	1.869936E-6
			8)	mam	0	0	0.0
				1)	mame	1935	10048	7.995369E-5
				2)	mam_	4613	2243	1.7847942E-5
				3)	mamo	5973	1202	9.564524E-6
				4)	mama	9705	300	2.3871523E-6
			9)	mal	0	0	0.0
				1)	mal_	2819	5878	4.677227E-5
				2)	mali	5583	1429	1.1370802E-5
				3)	malm	6023	1177	9.365594E-6
				4)	male	7719	615	4.893662E-6
				5)	malt	9375	335	2.6656535E-6
				6)	malá	9474	324	2.5781244E-6
				7)	malo	9934	275	2.1882229E-6
				8)	malh	10802	202	1.6073492E-6
			10)	mag	0	0	0.0
				1)	magi	4964	1897	1.509476E-5
				2)	mage	5285	1639	1.3041808E-5
				3)	magn	7401	696	5.5381934E-6
				4)	maga	7772	606	4.8220477E-6
				5)	mago	9995	269	2.1404799E-6
			11)	mac	0	0	0.0
				1)	maci	5087	1785	1.4203556E-5
				2)	macê	7304	721	5.7371226E-6
				3)	macr	8014	554	4.4082744E-6
			12)	mau	0	0	0.0
				1)	mau_	6996	807	6.4214396E-6
				2)	maus	8561	449	3.5727712E-6
			13)	maz	0	0	0.0
				1)	maze	7114	770	6.1270243E-6
				2)	mazi	10442	229	1.822193E-6
			14)	maq	0	0	0.0
				1)	maqu	7496	674	5.3631356E-6
			15)	mav	0	0	0.0
				1)	mava	8328	488	3.8831013E-6
			16)	map	0	0	0.0
				1)	mapa	9760	293	2.3314522E-6
			17)	max	0	0	0.0
				1)	maxi	10216	249	1.9813365E-6
		4)	mb	0	0	0.0
			1)	mbé	0	0	0.0
				1)	mbém	114	84568	6.729223E-4
			2)	mbi	0	0	0.0
				1)	mbie	1171	17377	1.3827182E-4
				2)	mbit	1717	11615	9.242258E-5
				3)	mbic	4228	2742	2.1818572E-5
				4)	mbio	4911	1942	1.5452833E-5
				5)	mbiç	5093	1779	1.4155813E-5
				6)	mbin	5814	1293	1.0288626E-5
				7)	mbig	9018	382	3.0396407E-6
				8)	mbia	9726	298	2.371238E-6
				9)	mbis	10732	207	1.647135E-6
			3)	mbr	0	0	0.0
				1)	mbro	1737	11438	9.101416E-5
				2)	mbra	3518	3972	3.1605898E-5
				3)	mbri	6545	963	7.662759E-6
				4)	mbre	9223	353	2.8088825E-6
			4)	mbo	0	0	0.0
				1)	mbor	1777	11129	8.8555396E-5
				2)	mbol	5439	1531	1.2182434E-5
				3)	mboi	7755	609	4.845919E-6
				4)	mbo_	10330	239	1.9017647E-6
			5)	mba	0	0	0.0
				1)	mbat	2274	8093	6.439741E-5
				2)	mbar	4313	2620	2.0847798E-5
				3)	mbas	4703	2142	1.7044267E-5
				4)	mbal	7362	703	5.5938935E-6
				5)	mbai	8949	390	3.103298E-6
				6)	mba_	10418	231	1.8381073E-6
			6)	mbl	0	0	0.0
				1)	mble	3771	3479	2.7683009E-5
			7)	mbu	0	0	0.0
				1)	mbus	4275	2662	2.1181999E-5
				2)	mbur	8705	429	3.4136278E-6
				3)	mbul	10246	247	1.9654221E-6
			8)	mbó	0	0	0.0
				1)	mból	8618	441	3.5091139E-6
			9)	mbe	0	0	0.0
				1)	mbe_	10132	257	2.0449938E-6
			10)	mbí	0	0	0.0
				1)	mbíg	10370	235	1.869936E-6
		5)	mp	0	0	0.0
			1)	mpo	0	0	0.0
				1)	mpor	185	63860	5.0814514E-4
				2)	mpo_	888	22141	1.7617979E-4
				3)	mpos	1609	12458	9.913048E-5
				4)	mpon	5211	1692	1.3463539E-5
				5)	mpob	8474	462	3.6762146E-6
				6)	mpot	9177	359	2.8566255E-6
			2)	mpr	0	0	0.0
				1)	mpre	186	63714	5.0698343E-4
				2)	mpro	1204	17064	1.3578123E-4
				3)	mpri	2053	9324	7.419269E-5
				4)	mpra	4308	2624	2.0879626E-5
				5)	mpré	7264	734	5.840566E-6
			3)	mpl	0	0	0.0
				1)	mple	731	26018	2.0702976E-4
				2)	mplo	962	20893	1.6624924E-4
				3)	mpli	1931	10105	8.040725E-5
				4)	mpla	3194	4753	3.782045E-5
			4)	mpe	0	0	0.0
				1)	mpet	1157	17551	1.3965636E-4
				2)	mpen	1312	15587	1.2402848E-4
				3)	mped	3171	4812	3.8289923E-5
				4)	mper	4205	2782	2.213686E-5
				5)	mpez	9624	309	2.4587669E-6
				6)	mpes	9908	278	2.2120944E-6
				7)	mpeç	9953	274	2.1802657E-6
			5)	mpa	0	0	0.0
				1)	mpan	1823	10853	8.6359214E-5
				2)	mpac	2976	5411	4.3056272E-5
				3)	mpar	3280	4550	3.6205143E-5
				4)	mpat	4237	2724	2.1675343E-5
				5)	mpas	6822	863	6.8670415E-6
				6)	mpad	7450	683	5.43475E-6
				7)	mpa_	10265	246	1.957465E-6
			6)	mpõ	0	0	0.0
				1)	mpõe	4489	2393	1.9041518E-5
			7)	mpu	0	0	0.0
				1)	mpul	5205	1698	1.3511282E-5
				2)	mput	6461	991	7.88556E-6
				3)	mpun	7519	668	5.3153926E-6
				4)	mpur	9623	309	2.4587669E-6
			8)	mpi	0	0	0.0
				1)	mpin	7814	597	4.750433E-6
				2)	mpid	8294	493	3.922887E-6
		6)	mi	0	0	0.0
			1)	min	0	0	0.0
				1)	mina	488	35559	2.8294916E-4
				2)	mini	1850	10672	8.491897E-5
				3)	minh	2462	7256	5.7737256E-5
				4)	mino	2557	6803	5.413266E-5
				5)	minu	3339	4390	3.4931996E-5
				6)	mine	5349	1602	1.2747393E-5
				7)	miná	7094	775	6.16681E-6
				8)	mind	8262	501	3.9865445E-6
				9)	ming	8693	431	3.4295422E-6
			2)	mis	0	0	0.0
				1)	miss	489	35534	2.8275023E-4
				2)	mist	4251	2701	2.1492328E-5
				3)	mism	5707	1347	1.0718314E-5
				4)	misé	8475	462	3.6762146E-6
			3)	mit	0	0	0.0
				1)	miti	1004	20074	1.5973231E-4
				2)	mita	1249	16435	1.3077616E-4
				3)	mite	1928	10122	8.054252E-5
				4)	mito	5467	1513	1.2039205E-5
				5)	mité	5818	1291	1.0272712E-5
			4)	mil	0	0	0.0
				1)	milh	1189	17212	1.3695889E-4
				2)	mili	2272	8123	6.463613E-5
				3)	mil_	3653	3699	2.9433588E-5
				4)	mila	7535	664	5.283564E-6
				5)	milé	10653	212	1.686921E-6
				6)	milí	10679	210	1.6710067E-6
			5)	mic	0	0	0.0
				1)	mica	1288	15869	1.262724E-4
				2)	mico	1489	13676	1.08822314E-4
				3)	mici	6277	1058	8.41869E-6
				4)	micr	8086	536	4.2650454E-6
				5)	micí	10643	213	1.6948782E-6
			6)	mid	0	0	0.0
				1)	mido	1691	11810	9.397423E-5
				2)	mida	2418	7451	5.9288905E-5
			7)	mig	0	0	0.0
				1)	migr	1849	10677	8.495875E-5
				2)	migo	4284	2650	2.1086513E-5
				3)	miga	9682	303	2.4110238E-6
			8)	mia	0	0	0.0
				1)	mia_	2105	9054	7.2044255E-5
				2)	mias	4958	1904	1.515046E-5
				3)	miar	6754	887	7.0580136E-6
				4)	mian	10185	252	2.005208E-6
			9)	mir	0	0	0.0
				1)	mir_	2989	5362	4.266637E-5
				2)	mira	6256	1067	8.490305E-6
				3)	mire	9105	368	2.92824E-6
				4)	mirá	9738	297	2.3632808E-6
			10)	miz	0	0	0.0
				1)	miza	5030	1837	1.461733E-5
			11)	miu	0	0	0.0
				1)	miu_	6696	908	7.225114E-6
			12)	mio	0	0	0.0
				1)	mio_	7158	760	6.0474526E-6
				2)	mios	9183	358	2.8486684E-6
			13)	mim	0	0	0.0
				1)	mimo	8967	389	3.0953408E-6
			14)	miõ	0	0	0.0
				1)	miõe	9366	336	2.6736107E-6
		7)	mu	0	0	0.0
			1)	mun	0	0	0.0
				1)	muni	510	34232	2.7239E-4
				2)	mund	1026	19756	1.5720194E-4
				3)	muns	3405	4236	3.370659E-5
				4)	munh	5811	1294	1.0296583E-5
				5)	mune	6533	966	7.686631E-6
			2)	mum	0	0	0.0
				1)	mum_	1324	15401	1.2254844E-4
			3)	mul	0	0	0.0
				1)	mulh	1423	14277	1.13604576E-4
				2)	mult	2161	8713	6.933086E-5
				3)	mula	2702	6269	4.9883525E-5
				4)	mulo	7712	616	4.9016194E-6
				5)	mulá	10508	224	1.782407E-6
			4)	mud	0	0	0.0
				1)	muda	2534	6902	5.4920416E-5
				2)	mudo	8642	438	3.4852424E-6
			5)	mui	0	0	0.0
				1)	muit	5913	1238	9.850982E-6
			6)	muç	0	0	0.0
				1)	muçu	7360	703	5.5938935E-6
			7)	mur	0	0	0.0
				1)	muro	7677	625	4.973234E-6
			8)	mut	0	0	0.0
				1)	mutu	8091	535	4.257088E-6
				2)	muta	8712	428	3.4056707E-6
				3)	muti	9605	310	2.466724E-6
		8)	mí	0	0	0.0
			1)	mín	0	0	0.0
				1)	míni	898	22032	1.7531247E-4
			2)	míl	0	0	0.0
				1)	míli	3609	3790	3.0157691E-5
			3)	mís	0	0	0.0
				1)	míss	9182	358	2.8486684E-6
		9)	má	0	0	0.0
			1)	mát	0	0	0.0
				1)	máti	1888	10418	8.2897845E-5
			2)	máx	0	0	0.0
				1)	máxi	3588	3821	3.0404362E-5
			3)	mám	0	0	0.0
				1)	mámo	6958	818	6.5089685E-6
			4)	már	0	0	0.0
				1)	mári	7489	675	5.371093E-6
			5)	máq	0	0	0.0
				1)	máqu	8384	478	3.8035294E-6
			6)	máv	0	0	0.0
				1)	máve	9248	350	2.785011E-6
			7)	más	0	0	0.0
				1)	más_	9339	339	2.6974822E-6
			8)	mál	0	0	0.0
				1)	málo	9409	331	2.6338248E-6
		10)	ms	0	0	0.0
			1)	mse	0	0	0.0
				1)	mse_	1987	9766	7.770977E-5
		11)	mé	0	0	0.0
			1)	mér	0	0	0.0
				1)	mérc	2301	7936	6.314814E-5
				2)	méri	6666	916	7.288772E-6
			2)	méd	0	0	0.0
				1)	médi	2496	7085	5.637658E-5
			3)	mét	0	0	0.0
				1)	méto	3314	4456	3.5457168E-5
				2)	métr	8847	407	3.23857E-6
				3)	méti	9029	381	3.0316835E-6
			4)	més	0	0	0.0
				1)	mést	7368	702	5.5859364E-6
			5)	mén	0	0	0.0
				1)	méni	9970	273	2.1723085E-6
		12)	mm	0	0	0.0
			1)	mme	0	0	0.0
				1)	mme_	3418	4208	3.348379E-5
		13)	mó	0	0	0.0
			1)	móv	0	0	0.0
				1)	móve	4146	2856	2.272569E-5
			2)	món	0	0	0.0
				1)	móni	5766	1318	1.0487556E-5
			3)	mór	0	0	0.0
				1)	móri	7359	703	5.5938935E-6
			4)	mól	0	0	0.0
				1)	mólo	10434	230	1.8301502E-6
		14)	mê	0	0	0.0
			1)	mês	0	0	0.0
				1)	mês_	4280	2655	2.1126298E-5
			2)	mên	0	0	0.0
				1)	mênc	9887	280	2.2280087E-6
		15)	mã	0	0	0.0
			1)	mão	0	0	0.0
				1)	mão_	4677	2165	1.7227283E-5
				2)	mãos	4877	1974	1.5707463E-5
				3)	mãod	6725	899	7.1534996E-6
			2)	mãe	0	0	0.0
				1)	mães	7112	771	6.1349815E-6
				2)	mãe_	9439	327	2.601996E-6
			3)	mãs	0	0	0.0
				1)	mãs_	10503	225	1.7903642E-6
		16)	mú	0	0	0.0
			1)	mút	0	0	0.0
				1)	mútu	4771	2079	1.6542965E-5
			2)	múl	0	0	0.0
				1)	múlt	7690	622	4.9493624E-6
			3)	mús	0	0	0.0
				1)	músi	10165	255	2.0290795E-6
		17)	mn	0	0	0.0
			1)	mno	0	0	0.0
				1)	mnos	5214	1688	1.3431711E-5
				2)	mno_	8034	548	4.3605314E-6
			2)	mni	0	0	0.0
				1)	mniz	6563	955	7.5991015E-6
		18)	mv	0	0	0.0
			1)	mvi	0	0	0.0
				1)	mvin	7188	753	5.9917525E-6
		19)	md	0	0	0.0
			1)	mde	0	0	0.0
				1)	mdes	9116	366	2.9123257E-6
		20)	ml	0	0	0.0
			1)	mlh	0	0	0.0
				1)	mlhe	10522	223	1.7744499E-6
	2)	ç	0	0	0.0
		1)	çã	0	0	0.0
			1)	ção	0	0	0.0
				1)	ção_	2	601258	0.004784315
		2)	çõ	0	0	0.0
			1)	çõe	0	0	0.0
				1)	ções	23	192712	0.001533443
		3)	ço	0	0	0.0
			1)	ços	0	0	0.0
				1)	ços_	538	32837	2.6128974E-4
				2)	çosa	9340	338	2.689525E-6
				3)	çoso	9634	307	2.4428525E-6
			2)	çou	0	0	0.0
				1)	çou_	4855	1994	1.5866606E-5
			3)	çol	0	0	0.0
				1)	çolh	6000	1186	9.437209E-6
			4)	çoa	0	0	0.0
				1)	çoam	9188	357	2.8407112E-6
				2)	çoar	10204	250	1.9892937E-6
			5)	çov	0	0	0.0
				1)	çovo	10585	217	1.7267068E-6
		4)	ça	0	0	0.0
			1)	ças	0	0	0.0
				1)	ças_	794	24326	1.9356623E-4
				2)	çass	9694	301	2.3951095E-6
			2)	çar	0	0	0.0
				1)	çar_	892	22067	1.7559096E-4
				2)	çare	6617	932	7.4160866E-6
				3)	çarm	6729	897	7.1375853E-6
				4)	çara	6841	853	6.78747E-6
				5)	çars	8467	463	3.6841718E-6
				6)	çará	9215	354	2.8168397E-6
				7)	çari	9982	271	2.1563942E-6
				8)	çarn	10429	230	1.8301502E-6
			3)	çam	0	0	0.0
				1)	çame	1060	19162	1.5247538E-4
				2)	çam_	3591	3820	3.0396406E-5
				3)	çamo	4953	1908	1.5182289E-5
			4)	çad	0	0	0.0
				1)	çado	2432	7373	5.8668247E-5
				2)	çada	3289	4517	3.5942558E-5
			5)	çan	0	0	0.0
				1)	çand	6426	1003	7.981046E-6
			6)	çaf	0	0	0.0
				1)	çafe	9596	310	2.466724E-6
		5)	çú	0	0	0.0
			1)	çúc	0	0	0.0
				1)	çúca	5525	1473	1.1720917E-5
		6)	çá	0	0	0.0
			1)	çám	0	0	0.0
				1)	çámo	6504	975	7.758245E-6
		7)	çu	0	0	0.0
			1)	çul	0	0	0.0
				1)	çulm	7354	703	5.5938935E-6
	3)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	0	0	0.0
				1)	ente	3	493737	0.003928751
				2)	ento	18	240594	0.0019144485
				3)	enta	28	182982	0.0014560197
				4)	enti	441	37253	2.9642863E-4
				5)	entr	703	26618	2.1180407E-4
				6)	entá	1574	12731	1.0130279E-4
				7)	entu	2615	6615	5.2636708E-5
				8)	entã	2645	6497	5.1697763E-5
				9)	entí	3751	3513	2.7953554E-5
				10)	entâ	9268	348	2.7690967E-6
			2)	enh	0	0	0.0
				1)	enho	86	98489	7.8369415E-4
				2)	enha	634	29925	2.3811845E-4
				3)	enhe	7592	649	5.164206E-6
				4)	enhu	8972	388	3.0873837E-6
			3)	env	0	0	0.0
				1)	envo	270	49855	3.9670494E-4
				2)	envi	2665	6391	5.08543E-5
				3)	enve	5061	1803	1.4346785E-5
			4)	end	0	0	0.0
				1)	ende	305	46812	3.7249125E-4
				2)	endo	463	36496	2.9040503E-4
				3)	enda	1584	12636	1.0054686E-4
				4)	endi	1722	11601	9.231118E-5
				5)	endê	2979	5401	4.29767E-5
				6)	endá	4838	2007	1.5970048E-5
			5)	ena	0	0	0.0
				1)	enas	570	31639	2.5175704E-4
				2)	ena_	2243	8243	6.559099E-5
				3)	enaç	3198	4745	3.7756792E-5
				4)	enam	3211	4720	3.7557864E-5
				5)	enad	3947	3189	2.537543E-5
				6)	enal	4236	2725	2.16833E-5
				7)	enar	5183	1712	1.3622683E-5
				8)	enag	6416	1008	8.020832E-6
				9)	enai	7337	710	5.6495937E-6
				10)	enac	9289	346	2.7531823E-6
			6)	enc	0	0	0.0
				1)	enci	598	30877	2.4569366E-4
				2)	enco	849	22985	1.8289566E-4
				3)	ence	1919	10188	8.1067694E-5
				4)	enca	2757	6073	4.832392E-5
				5)	ench	6104	1138	9.055265E-6
				6)	encu	10376	235	1.869936E-6
			7)	enç	0	0	0.0
				1)	ençã	630	30118	2.3965418E-4
				2)	ença	1542	13138	1.0454136E-4
				3)	ençõ	2899	5664	4.5069435E-5
				4)	enço	9404	331	2.6338248E-6
			8)	ens	0	0	0.0
				1)	ensa	829	23365	1.8591937E-4
				2)	enso	869	22541	1.7936267E-4
				3)	ens_	1230	16636	1.3237556E-4
				4)	ensã	2199	8504	6.766781E-5
				5)	ensi	2237	8281	6.5893364E-5
				6)	ensõ	3825	3383	2.691912E-5
				7)	ensí	3858	3334	2.652922E-5
				8)	ensá	4302	2629	2.0919411E-5
				9)	ense	5781	1306	1.0392069E-5
				10)	ensu	6018	1180	9.389466E-6
			9)	ene	0	0	0.0
				1)	ener	1112	18286	1.4550489E-4
				2)	enef	2128	8990	7.1534996E-5
				3)	enet	6173	1099	8.744934E-6
				4)	ene_	7113	771	6.1349815E-6
				5)	eneg	9401	332	2.641782E-6
				6)	enes	10269	246	1.957465E-6
				7)	enen	10698	209	1.6630495E-6
			10)	enq	0	0	0.0
				1)	enqu	1710	11666	9.28284E-5
			11)	eno	0	0	0.0
				1)	enor	1723	11595	9.2263435E-5
				2)	eno_	2443	7330	5.8326088E-5
				3)	enos	2870	5750	4.5753754E-5
				4)	enov	3746	3520	2.8009254E-5
				5)	enom	5821	1287	1.0240883E-5
				6)	enof	7817	597	4.750433E-6
				7)	enoc	7830	595	4.734519E-6
				8)	enou	9809	289	2.2996235E-6
			12)	enf	0	0	0.0
				1)	enfr	3037	5210	4.145688E-5
				2)	enfe	8833	409	3.2544842E-6
				3)	enfi	9415	330	2.6258676E-6
				4)	enfa	9435	327	2.601996E-6
				5)	enfo	10641	213	1.6948782E-6
			13)	eni	0	0	0.0
				1)	enie	3576	3840	3.055555E-5
				2)	enir	6569	952	7.57523E-6
				3)	eniê	7864	586	4.6629043E-6
				4)	enit	9309	342	2.7213537E-6
				5)	enid	10375	235	1.869936E-6
			14)	ená	0	0	0.0
				1)	enár	3955	3176	2.5271986E-5
				2)	enáv	10088	262	2.0847797E-6
			15)	enu	0	0	0.0
				1)	enun	4555	2321	1.8468601E-5
				2)	enum	7944	571	4.5435468E-6
				3)	enua	8131	527	4.193431E-6
				4)	enuí	8143	524	4.1695594E-6
				5)	enui	10576	218	1.734664E-6
			16)	enó	0	0	0.0
				1)	enóm	5052	1815	1.4442271E-5
				2)	enóf	10697	209	1.6630495E-6
			17)	eng	0	0	0.0
				1)	enga	5951	1218	9.691838E-6
				2)	enge	8563	449	3.5727712E-6
				3)	engl	9238	351	2.7929682E-6
				4)	engo	10468	228	1.8142357E-6
			18)	ené	0	0	0.0
				1)	enér	6446	997	7.933303E-6
				2)	enéf	7329	711	5.657551E-6
				3)	enét	8190	515	4.097945E-6
			19)	enã	0	0	0.0
				1)	enão	6611	935	7.439958E-6
			20)	enr	0	0	0.0
				1)	enri	7555	658	5.235821E-6
				2)	enro	8178	517	4.113859E-6
				3)	enra	9805	290	2.3075806E-6
			21)	enú	0	0	0.0
				1)	enún	8360	482	3.8353583E-6
		2)	el	0	0	0.0
			1)	ela	0	0	0.0
				1)	elat	62	115261	9.1715186E-4
				2)	ela_	285	48460	3.8560468E-4
				3)	elaç	884	22273	1.7723015E-4
				4)	elas	1832	10777	8.5754466E-5
				5)	elab	2245	8233	6.551142E-5
				6)	elac	2677	6356	5.05758E-5
				7)	elar	3441	4162	3.3117758E-5
				8)	elam	4120	2898	2.305989E-5
				9)	elad	4501	2377	1.8914203E-5
				10)	elan	5751	1325	1.0543256E-5
			2)	elo	0	0	0.0
				1)	elo_	192	62459	4.9699715E-4
				2)	elos	1100	18488	1.4711224E-4
				3)	elou	6351	1033	8.219761E-6
				4)	eloc	6923	828	6.58854E-6
				5)	elog	7750	610	4.8538764E-6
				6)	elor	9766	293	2.3314522E-6
				7)	elop	9937	275	2.1882229E-6
				8)	eloq	10816	201	1.599392E-6
			3)	elh	0	0	0.0
				1)	elho	519	34013	2.7064738E-4
				2)	elha	3083	5056	4.0231473E-5
				3)	elhe	5824	1283	1.0209054E-5
				4)	elhá	10754	206	1.6391779E-6
			4)	ele	0	0	0.0
				1)	elec	879	22429	1.7847147E-4
				2)	elev	1539	13163	1.04740284E-4
				3)	elei	1616	12427	9.888381E-5
				4)	elem	2482	7164	5.7005196E-5
				5)	elen	2550	6830	5.43475E-5
				6)	eleg	3137	4929	3.922091E-5
				7)	eler	4389	2510	1.9972507E-5
				8)	eles	4636	2218	1.7649012E-5
				9)	ele_	4741	2105	1.6749853E-5
				10)	eleb	4800	2044	1.6264465E-5
				11)	elef	7082	779	6.198639E-6
				12)	eleç	7869	585	4.654947E-6
			5)	elm	0	0	0.0
				1)	elme	2001	9653	7.6810604E-5
			6)	eli	0	0	0.0
				1)	elic	2140	8887	7.071541E-5
				2)	eliz	2445	7327	5.8302216E-5
				3)	elim	3051	5166	4.1106763E-5
				4)	elig	3428	4195	3.3380347E-5
				5)	elit	4425	2467	1.963035E-5
				6)	elib	5620	1402	1.1155958E-5
				7)	elin	7021	798	6.349825E-6
				8)	elid	9370	336	2.6736107E-6
			7)	elg	0	0	0.0
				1)	elga	6214	1084	8.625577E-6
			8)	elv	0	0	0.0
				1)	elva	7513	670	5.331307E-6
